A fact sheet with definitions and metadata for this dataset can be found at http://www.stateair.net/web/historical/1/3.html.
The U.S. Department of State Data Use Statement at http://www.stateair.net/web/historical/1/3.html applies to these and all data available from the Mission China air quality monitoring program.

Site,Parameter,Date (LST),Year,Month,Day,Hour,Value,Unit,Duration,QC Name
Guangzhou,PM2.5,2013-01-08 05:00,2013,1,8,5,47,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,2013-01-08 06:00,2013,1,8,6,54,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,2013-01-08 07:00,2013,1,8,7,57,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,2013-01-08 08:00,2013,1,8,8,54,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,2013-01-08 09:00,2013,1,8,9,60,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,2013-01-08 10:00,2013,1,8,10,68,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,2013-01-08 11:00,2013,1,8,11,78,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,2013-01-08 12:00,2013,1,8,12,79,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,2013-01-08 13:00,2013,1,8,13,91,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,2013-01-08 14:00,2013,1,8,14,107,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,2013-01-08 15:00,2013,1,8,15,76,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,2013-01-08 16:00,2013,1,8,16,69,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,2013-01-08 17:00,2013,1,8,17,77,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,2013-01-08 18:00,2013,1,8,18,74,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,2013-01-08 19:00,2013,1,8,19,66,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,2013-01-08 20:00,2013,1,8,20,53,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,2013-01-08 21:00,2013,1,8,21,60,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,2013-01-08 22:00,2013,1,8,22,59,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,2013-01-08 23:00,2013,1,8,23,56,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,2013-01-09 00:00,2013,1,9,0,56,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,2013-01-09 01:00,2013,1,9,1,47,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,2013-01-09 02:00,2013,1,9,2,54,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,2013-01-09 03:00,2013,1,9,3,53,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,2013-01-09 04:00,2013,1,9,4,46,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,2013-01-09 05:00,2013,1,9,5,43,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,2013-01-09 06:00,2013,1,9,6,45,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,2013-01-09 07:00,2013,1,9,7,52,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,2013-01-09 08:00,2013,1,9,8,56,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,2013-01-09 09:00,2013,1,9,9,57,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,2013-01-09 10:00,2013,1,9,10,55,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,2013-01-09 11:00,2013,1,9,11,43,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,2013-01-09 12:00,2013,1,9,12,48,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,2013-01-09 13:00,2013,1,9,13,49,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,2013-01-09 14:00,2013,1,9,14,56,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,2013-01-09 15:00,2013,1,9,15,51,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,2013-01-09 16:00,2013,1,9,16,60,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,2013-01-09 17:00,2013,1,9,17,52,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,2013-01-09 18:00,2013,1,9,18,60,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,2013-01-09 19:00,2013,1,9,19,54,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,2013-01-09 20:00,2013,1,9,20,61,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,2013-01-09 21:00,2013,1,9,21,62,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,2013-01-09 22:00,2013,1,9,22,61,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,2013-01-09 23:00,2013,1,9,23,63,µg/m³,1 Hr,Valid
