A fact sheet with definitions and metadata for this dataset can be found at http://www.stateair.net/web/historical/1/4.html.
The U.S. Department of State Data Use Statement at http://www.stateair.net/web/historical/1/4.html applies to these and all data available from the Mission China air quality monitoring program.

Site,Parameter,Date (LST),Year,Month,Day,Hour,Value,Unit,Duration,QC Name
Shanghai,PM2.5,2013-01-06 03:00,2013,1,6,3,55,µg/m³,1 Hr,Valid
Shanghai,PM2.5,2013-01-06 04:00,2013,1,6,4,68,µg/m³,1 Hr,Valid
Shanghai,PM2.5,2013-01-06 05:00,2013,1,6,5,73,µg/m³,1 Hr,Valid
Shanghai,PM2.5,2013-01-06 06:00,2013,1,6,6,83,µg/m³,1 Hr,Valid
Shanghai,PM2.5,2013-01-06 07:00,2013,1,6,7,72,µg/m³,1 Hr,Valid
Shanghai,PM2.5,2013-01-06 08:00,2013,1,6,8,73,µg/m³,1 Hr,Valid
Shanghai,PM2.5,2013-01-06 09:00,2013,1,6,9,74,µg/m³,1 Hr,Valid
Shanghai,PM2.5,2013-01-06 10:00,2013,1,6,10,80,µg/m³,1 Hr,Valid
Shanghai,PM2.5,2013-01-06 11:00,2013,1,6,11,100,µg/m³,1 Hr,Valid
Shanghai,PM2.5,2013-01-06 12:00,2013,1,6,12,82,µg/m³,1 Hr,Valid
Shanghai,PM2.5,2013-01-06 13:00,2013,1,6,13,76,µg/m³,1 Hr,Valid
Shanghai,PM2.5,2013-01-06 14:00,2013,1,6,14,102,µg/m³,1 Hr,Valid
Shanghai,PM2.5,2013-01-06 15:00,2013,1,6,15,105,µg/m³,1 Hr,Valid
Shanghai,PM2.5,2013-01-06 16:00,2013,1,6,16,107,µg/m³,1 Hr,Valid
Shanghai,PM2.5,2013-01-06 17:00,2013,1,6,17,112,µg/m³,1 Hr,Valid
Shanghai,PM2.5,2013-01-06 18:00,2013,1,6,18,105,µg/m³,1 Hr,Valid
Shanghai,PM2.5,2013-01-06 19:00,2013,1,6,19,115,µg/m³,1 Hr,Valid
Shanghai,PM2.5,2013-01-06 20:00,2013,1,6,20,110,µg/m³,1 Hr,Valid
Shanghai,PM2.5,2013-01-06 21:00,2013,1,6,21,118,µg/m³,1 Hr,Valid
Shanghai,PM2.5,2013-01-06 22:00,2013,1,6,22,94,µg/m³,1 Hr,Valid
Shanghai,PM2.5,2013-01-06 23:00,2013,1,6,23,100,µg/m³,1 Hr,Valid
Shanghai,PM2.5,2013-01-07 00:00,2013,1,7,0,99,µg/m³,1 Hr,Valid
Shanghai,PM2.5,2013-01-07 01:00,2013,1,7,1,116,µg/m³,1 Hr,Valid
Shanghai,PM2.5,2013-01-07 02:00,2013,1,7,2,128,µg/m³,1 Hr,Valid
Shanghai,PM2.5,2013-01-07 03:00,2013,1,7,3,128,µg/m³,1 Hr,Valid
Shanghai,PM2.5,2013-01-07 04:00,2013,1,7,4,138,µg/m³,1 Hr,Valid
Shanghai,PM2.5,2013-01-07 05:00,2013,1,7,5,147,µg/m³,1 Hr,Valid
Shanghai,PM2.5,2013-01-07 06:00,2013,1,7,6,146,µg/m³,1 Hr,Valid
